Source	Target	mode	section	date	labelSource	PoemTitle	PoemDate
1660_apologetico	OC255	ref	preliminar10	1661	Diego de Loaysa y Zárate	Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612
1660_apologetico	OC264C	ref	preliminar11	1661	Bernabé Gascón Riquelme	Éntrase el mar por un arroyo breve [Soledad Segunda]	1614
1660_apologetico	OC264A	ref	preliminar11	1661	Bernabé Gascón Riquelme	Pasos de un peregrino son, errante [Dedicatoria Soledades]	1613
1660_apologetico	OC313	ref	preliminar15	1661	Juan de Espinosa Medrano	Si arrebatado merecí algún día	1617
1660_apologetico	OC264A	ref	preliminar15	1661	Juan de Espinosa Medrano	Pasos de un peregrino son, errante [Dedicatoria Soledades]	1613
1660_apologetico	OC313	ref	preliminar15	1661	Juan de Espinosa Medrano	Si arrebatado merecí algún día	1617
1660_apologetico	OC264C	ref	preliminar15	1661	Juan de Espinosa Medrano	Éntrase el mar por un arroyo breve [Soledad Segunda]	1614
1660_apologetico	OC264C	ref	preliminar15	1661	Juan de Espinosa Medrano	Éntrase el mar por un arroyo breve [Soledad Segunda]	1614
1660_apologetico	OC255	ref	seccion2_Faria	1660	Manuel de Faría y Sousa	Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612
1660_apologetico	OC255	ref	seccion2_Faria	1660	Manuel de Faría y Sousa	Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612
1660_apologetico	OC255	ref	seccion2_Faria	1660	Manuel de Faría y Sousa	Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612
1660_apologetico	OC255	ref	seccion2_Faria	1660	Manuel de Faría y Sousa	Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612
1660_apologetico	OC255	ref	seccion2_Faria	1660	Manuel de Faría y Sousa	Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612
1660_apologetico	OC255	ref	seccion2_Faria	1660	Manuel de Faría y Sousa	Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612
1660_apologetico	OC264B	ref	seccion2_Faria	1660	Manuel de Faría y Sousa	Era del año la estación florida [Soledad Primera]	1613
1660_apologetico	OC264B	ref	seccion2_Faria	1660	Manuel de Faría y Sousa	Era del año la estación florida [Soledad Primera]	1613
1660_apologetico	OC264B	ref	seccion2_Faria	1660	Manuel de Faría y Sousa	Era del año la estación florida [Soledad Primera]	1613
1660_apologetico	OC264B	ref	seccion2_Faria	1660	Manuel de Faría y Sousa	Era del año la estación florida [Soledad Primera]	1613
1660_apologetico	OC264B	ref	seccion2_Faria	1660	Manuel de Faría y Sousa	Era del año la estación florida [Soledad Primera]	1613
1660_apologetico	OC264B	ref	seccion2_Faria	1660	Manuel de Faría y Sousa	Era del año la estación florida [Soledad Primera]	1613
1660_apologetico	OC255	ref	seccion2	1660	Juan de Espinosa Medrano	Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612
1660_apologetico	OC255	ref	seccion2	1660	Juan de Espinosa Medrano	Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612
1660_apologetico	OC255	ref	seccion2	1660	Juan de Espinosa Medrano	Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612
1660_apologetico	OC264B	ref	seccion2	1660	Juan de Espinosa Medrano	Era del año la estación florida [Soledad Primera]	1613
1660_apologetico	OC255	ref	seccion3_Faria	1660	Manuel de Faría y Sousa	Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612
1660_apologetico	OC264B	ref	seccion3_Faria	1660	Manuel de Faría y Sousa	Era del año la estación florida [Soledad Primera]	1613
1660_apologetico	OC255	ref	seccion3_Faria	1660	Manuel de Faría y Sousa	Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612
1660_apologetico	OC264B	ref	seccion3_Faria	1660	Manuel de Faría y Sousa	Era del año la estación florida [Soledad Primera]	1613
1660_apologetico	OC264C	ref	seccion3_Faria	1660	Manuel de Faría y Sousa	Éntrase el mar por un arroyo breve [Soledad Segunda]	1614
1660_apologetico	OC255	ref	seccion3	1660	Juan de Espinosa Medrano	Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612
1660_apologetico	OC255	ref	seccion3	1660	Juan de Espinosa Medrano	Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612
1660_apologetico	OC264B	ref	seccion3	1660	Juan de Espinosa Medrano	Era del año la estación florida [Soledad Primera]	1613
1660_apologetico	OC264C	ref	seccion3	1660	Juan de Espinosa Medrano	Éntrase el mar por un arroyo breve [Soledad Segunda]	1614
1660_apologetico	OC317	ref	seccion3	1660	Juan de Espinosa Medrano	La ciudad de Babilonia,	1618
1660_apologetico	OC317	ref	seccion3	1660	Juan de Espinosa Medrano	La ciudad de Babilonia,	1618
1660_apologetico	OC317	ref	seccion3	1660	Juan de Espinosa Medrano	La ciudad de Babilonia,	1618
1660_apologetico	OC154	ref	seccion3	1660	Juan de Espinosa Medrano	Del león, que en la Silva apenas cabe	1604
1660_apologetico	OC264B	ref	seccion4_Faria	1660	Manuel de Faría y Sousa	Era del año la estación florida [Soledad Primera]	1613
1660_apologetico	OC264B	ref	seccion4_Faria	1660	Manuel de Faría y Sousa	Era del año la estación florida [Soledad Primera]	1613
1660_apologetico	OC264B	ref	seccion4_Faria	1660	Manuel de Faría y Sousa	Era del año la estación florida [Soledad Primera]	1613
1660_apologetico	OC264B	ref	seccion4_Faria	1660	Manuel de Faría y Sousa	Era del año la estación florida [Soledad Primera]	1613
1660_apologetico	OC264C	ref	seccion4_Faria	1660	Manuel de Faría y Sousa	Éntrase el mar por un arroyo breve [Soledad Segunda]	1614
1660_apologetico	OC264C	ref	seccion4_Faria	1660	Manuel de Faría y Sousa	Éntrase el mar por un arroyo breve [Soledad Segunda]	1614
1660_apologetico	OC264C	ref	seccion4_Faria	1660	Manuel de Faría y Sousa	Éntrase el mar por un arroyo breve [Soledad Segunda]	1614
1660_apologetico	OC264C	ref	seccion4_Faria	1660	Manuel de Faría y Sousa	Éntrase el mar por un arroyo breve [Soledad Segunda]	1614
1660_apologetico	OC313	ref	seccion4_Faria	1660	Manuel de Faría y Sousa	Si arrebatado merecí algún día	1617
1660_apologetico	OC313	ref	seccion4_Faria	1660	Manuel de Faría y Sousa	Si arrebatado merecí algún día	1617
1660_apologetico	OC313	ref	seccion4_Faria	1660	Manuel de Faría y Sousa	Si arrebatado merecí algún día	1617
1660_apologetico	OC313	ref	seccion4_Faria	1660	Manuel de Faría y Sousa	Si arrebatado merecí algún día	1617
1660_apologetico	OC313	ref	seccion4_Faria	1660	Manuel de Faría y Sousa	Si arrebatado merecí algún día	1617
1660_apologetico	OC313	ref	seccion4_Faria	1660	Manuel de Faría y Sousa	Si arrebatado merecí algún día	1617
1660_apologetico	OC313	ref	seccion4_Faria	1660	Manuel de Faría y Sousa	Si arrebatado merecí algún día	1617
1660_apologetico	OC313	ref	seccion4_Faria	1660	Manuel de Faría y Sousa	Si arrebatado merecí algún día	1617
1660_apologetico	OC313	ref	seccion4_Faria	1660	Manuel de Faría y Sousa	Si arrebatado merecí algún día	1617
1660_apologetico	OC31	ref	seccion4	1660	Juan de Espinosa Medrano	Verdes hermanas del audaz mozuelo	1583
1660_apologetico	OC319	ref	seccion4	1660	Juan de Espinosa Medrano	Esta de flores, cuando no divina,	1619
1660_apologetico	OC287	ref	seccion4	1660	Juan de Espinosa Medrano	No entre las flores, no, señor don Diego,	1615
1660_apologetico	OC264B	ref	seccion4	1660	Juan de Espinosa Medrano	Era del año la estación florida [Soledad Primera]	1613
1660_apologetico	OC313	ref	seccion4	1660	Juan de Espinosa Medrano	Si arrebatado merecí algún día	1617
1660_apologetico	OC313	ref	seccion4	1660	Juan de Espinosa Medrano	Si arrebatado merecí algún día	1617
1660_apologetico	OC313	ref	seccion4	1660	Juan de Espinosa Medrano	Si arrebatado merecí algún día	1617
1660_apologetico	OC264B	ref	seccion4	1660	Juan de Espinosa Medrano	Era del año la estación florida [Soledad Primera]	1613
1660_apologetico	OC313	ref	seccion4	1660	Juan de Espinosa Medrano	Si arrebatado merecí algún día	1617
1660_apologetico	OC255	ref	seccion4	1660	Juan de Espinosa Medrano	Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612
1660_apologetico	OC264C	ref	seccion5	1660	Juan de Espinosa Medrano	Éntrase el mar por un arroyo breve [Soledad Segunda]	1614
1660_apologetico	OC255	ref	seccion5	1660	Juan de Espinosa Medrano	Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612
1660_apologetico	OC264B	ref	seccion5	1660	Juan de Espinosa Medrano	Era del año la estación florida [Soledad Primera]	1613
1660_apologetico	OC264B	ref	seccion6	1660	Juan de Espinosa Medrano	Era del año la estación florida [Soledad Primera]	1613
1660_apologetico	OC255	ref	seccion6	1660	Juan de Espinosa Medrano	Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612
1660_apologetico	OC255	ref	seccion6	1660	Juan de Espinosa Medrano	Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612
1660_apologetico	OC255	ref	seccion6	1660	Juan de Espinosa Medrano	Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612
1660_apologetico	OC255	ref	seccion6	1660	Juan de Espinosa Medrano	Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612
1660_apologetico	OC255	ref	seccion6	1660	Juan de Espinosa Medrano	Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612
1660_apologetico	OC255	ref	seccion6	1660	Juan de Espinosa Medrano	Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612
1660_apologetico	OC264C	ref	seccion6	1660	Juan de Espinosa Medrano	Éntrase el mar por un arroyo breve [Soledad Segunda]	1614
1660_apologetico	OC255	ref	seccion6	1660	Juan de Espinosa Medrano	Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612
1660_apologetico	OC463	ref	seccion7	1660	Juan de Espinosa Medrano	Patos de la aguachirle castellana,	ant. a 1622
1660_apologetico	OC264B	ref	seccion8	1660	Juan de Espinosa Medrano	Era del año la estación florida [Soledad Primera]	1613
1660_apologetico	OC26	ref	seccion8	1660	Juan de Espinosa Medrano	Que se nos va la pascua, mozas	1582
1660_apologetico	OC80	ref	seccion8	1660	Juan de Espinosa Medrano	Famosos son, en las armas	1590
1660_apologetico	OC389	ref	seccion8	1660	Juan de Espinosa Medrano	Menos solicitó veloz saeta	1623
1660_apologetico	OC264B	ref	seccion8	1660	Juan de Espinosa Medrano	Era del año la estación florida [Soledad Primera]	1613
1660_apologetico	OC264C	ref	seccion8	1660	Juan de Espinosa Medrano	Éntrase el mar por un arroyo breve [Soledad Segunda]	1614
1660_apologetico	OC311	ref	seccion8	1660	Juan de Espinosa Medrano	En vez de las Helíades, ahora	1617
1660_apologetico	OC264C	ref	seccion8	1660	Juan de Espinosa Medrano	Éntrase el mar por un arroyo breve [Soledad Segunda]	1614
1660_apologetico	OC264C	ref	seccion8	1660	Juan de Espinosa Medrano	Éntrase el mar por un arroyo breve [Soledad Segunda]	1614
1660_apologetico	OC264C	ref	seccion8	1660	Juan de Espinosa Medrano	Éntrase el mar por un arroyo breve [Soledad Segunda]	1614
1660_apologetico	OC315	ref	seccion8	1660	Juan de Espinosa Medrano	Caballo que despediste,	1617
1660_apologetico	OC324	ref	seccion8	1660	Juan de Espinosa Medrano	Guerra me hacen dos cuidados	1619
1660_apologetico	OC383	ref	seccion8	1660	Juan de Espinosa Medrano	«Ave del plumaje negro,	1622
1660_apologetico	OC255	ref	seccion8	1660	Juan de Espinosa Medrano	Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612
1660_apologetico	OC145	ref	seccion8	1660	Juan de Espinosa Medrano	Sobre trastes de guijas	1603
1660_apologetico	OC18	ref	seccion8	1660	Juan de Espinosa Medrano	Cual parece al romper de la mañana	1582
1660_apologetico	OC33	ref	seccion8	1660	Juan de Espinosa Medrano	Cuál del Ganges marfil, o cuál de Paro	1583
1660_apologetico	OC61	ref	seccion8	1660	Juan de Espinosa Medrano	Levantando blanca espuma	1586
1660_apologetico	OC82	ref	seccion8	1660	Juan de Espinosa Medrano	Dejad los libros ahora	1590
1660_apologetico	OC147	ref	seccion8	1660	Juan de Espinosa Medrano	De un monte en los senos, donde	1603
1660_apologetico	OC160	ref	seccion8	1660	Juan de Espinosa Medrano	A un tiempo dejaba el sol	1605
1660_apologetico	OC202	ref	seccion8	1660	Juan de Espinosa Medrano	Mal haya el que en señores idolatra	1609
1660_apologetico	OC219	ref	seccion8	1660	Juan de Espinosa Medrano	Pálida restituye a su elemento	1610
1660_apologetico	OC249	ref	seccion8	1660	Juan de Espinosa Medrano	Cloris, el más bello grano	1611
1660_apologetico	OC255	ref	seccion8	1660	Juan de Espinosa Medrano	Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612
1660_apologetico	OC264B	ref	seccion8	1660	Juan de Espinosa Medrano	Era del año la estación florida [Soledad Primera]	1613
1660_apologetico	OC264C	ref	seccion8	1660	Juan de Espinosa Medrano	Éntrase el mar por un arroyo breve [Soledad Segunda]	1614
1660_apologetico	OC264C	ref	seccion8	1660	Juan de Espinosa Medrano	Éntrase el mar por un arroyo breve [Soledad Segunda]	1614
1660_apologetico	OC264C	ref	seccion8	1660	Juan de Espinosa Medrano	Éntrase el mar por un arroyo breve [Soledad Segunda]	1614
1660_apologetico	OC350	ref	seccion8	1660	Juan de Espinosa Medrano	Por las faldas del Atlante,	1620
1660_apologetico	OC372	ref	seccion8	1660	Juan de Espinosa Medrano	Guarda corderos, zagala,	1621
1660_apologetico	OC375	ref	seccion8	1660	Juan de Espinosa Medrano	Al tronco descansaba de una encina	1622
1660_apologetico	OC255	ref	seccion8	1660	Juan de Espinosa Medrano	Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612
1660_apologetico	OC264C	ref	seccion8	1660	Juan de Espinosa Medrano	Éntrase el mar por un arroyo breve [Soledad Segunda]	1614
1660_apologetico	OC279	ref	seccion8	1660	Juan de Espinosa Medrano	Al campo salió, el estío,	1614
1660_apologetico	OC313	ref	seccion8	1660	Juan de Espinosa Medrano	Si arrebatado merecí algún día	1617
1660_apologetico	OC317	ref	seccion8	1660	Juan de Espinosa Medrano	La ciudad de Babilonia,	1618
1660_apologetico	OC351	ref	seccion8	1660	Juan de Espinosa Medrano	En la fuerza de Almería	1620
1660_apologetico	OC360	ref	seccion8	1660	Juan de Espinosa Medrano	Aljófares risueños de Albïela:	1621
1660_apologetico	OC264B	ref	seccion9	1660	Juan de Espinosa Medrano	Era del año la estación florida [Soledad Primera]	1613
1660_apologetico	OC223	ref	seccion10	1660	Juan de Espinosa Medrano	En roscas de cristal serpiente breve	1610
1660_apologetico	OC255	ref	seccion10	1660	Juan de Espinosa Medrano	Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612
1660_apologetico	OC317	ref	seccion10	1660	Juan de Espinosa Medrano	La ciudad de Babilonia,	1618
1660_apologetico	OC313	ref	seccion10	1660	Juan de Espinosa Medrano	Si arrebatado merecí algún día	1617
1660_apologetico	OC255	ref	seccion10	1660	Juan de Espinosa Medrano	Estas, que me dictó, rimas sonoras [Fábula de Polifemo y Galatea]	1612
1660_apologetico	OC41	ref	seccion12	1660	Juan de Espinosa Medrano	La dulce boca que a gustar convida	1584
1660_apologetico	OC264C	ref	seccion12	1660	Juan de Espinosa Medrano	Éntrase el mar por un arroyo breve [Soledad Segunda]	1614
